[Step 142] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 143] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 144] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 145] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 146] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 147] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 148] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 149] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 150] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 151] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 152] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 153] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 154] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 155] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 156] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 157] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 158] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 159] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 160] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 161] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 162] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 163] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 164] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 165] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step 166] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 167] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 168] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 169] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 170] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step 171] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 172] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 173] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 174] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 175] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 176] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step 177] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 178] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 179] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 180] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step 181] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 182] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 183] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 184] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 185] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step 186] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 187] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 188] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 189] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 190] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 191] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 192] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 193] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 194] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 195] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 196] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 197] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 198] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3351m | Success: ❌
[Step 199] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 200] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 201] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 202] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 203] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 204] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 205] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
